crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2017-04-18T00:00:00.000,23:10,STATEN ISLAND,10312,40.536728,-74.193344,"(40.536728, -74.193344)",,,243       DARLINGTON AVENUE             ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3654181,Station Wagon/Sport Utility Vehicle,,,,
2017-05-06T00:00:00.000,13:00,BRONX,10472,40.829052,-73.85038,"(40.829052, -73.85038)",CASTLE HILL AVENUE              ,BLACKROCK AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3665311,Sedan,,,,
2017-04-27T00:00:00.000,17:15,QUEENS,11420,40.677303,-73.804565,"(40.677303, -73.804565)",135 STREET                      ,FOCH BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3658491,Sedan,Sedan,,,
2017-05-09T00:00:00.000,20:10,,,40.624958,-74.145775,"(40.624958, -74.145775)",FOREST AVENUE                   ,RICHMOND AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3666554,Motorcycle,Sedan,Bus,,
2017-04-18T00:00:00.000,14:00,BRONX,10456,40.828846,-73.90312,"(40.828846, -73.90312)",,,1167      BOSTON ROAD                   ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3653269,Sedan,Station Wagon/Sport Utility Vehicle,,,
2017-05-08T00:00:00.000,10:33,,,40.556454,-74.20777,"(40.556454, -74.20777)",WEST SHORE EXPRESSWAY           ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3666365,Sedan,Sedan,,,
2017-05-10T00:00:00.000,6:10,,,40.740025,-73.97626,"(40.740025, -73.97626)",1 AVENUE                        ,EAST 28 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3666842,Taxi,Box Truck,,,
2017-04-24T00:00:00.000,9:30,BROOKLYN,11203,40.651646,-73.93233,"(40.651646, -73.93233)",EAST 48 STREET                  ,CHURCH AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3657123,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-04-14T00:00:00.000,13:00,,,40.7518,-73.817314,"(40.7518, -73.817314)",ROBINSON STREET                 ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3651039,Sedan,Station Wagon/Sport Utility Vehicle,,,
2017-05-02T00:00:00.000,1:00,BRONX,10474,40.816864,-73.882744,"(40.816864, -73.882744)",,,772       EDGEWATER ROAD                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3661896,Pick-up Truck,,,,
2017-05-01T00:00:00.000,14:30,STATEN ISLAND,10301,40.639614,-74.08727,"(40.639614, -74.08727)",,,361       JERSEY STREET                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3661330,Station Wagon/Sport Utility Vehicle,PAS,,,
2017-04-29T00:00:00.000,8:45,,,40.71423,-73.85386,"(40.71423, -73.85386)",LOUBET STREET                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3659418,Sedan,,,,
2017-05-01T00:00:00.000,10:30,BROOKLYN,11223,40.602757,-73.96377,"(40.602757, -73.96377)",,,802       AVENUE S                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3661943,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-04-16T00:00:00.000,15:50,BROOKLYN,11203,40.652973,-73.94401,"(40.652973, -73.94401)",BROOKLYN AVENUE                 ,LINDEN BOULEVARD,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3654121,Station Wagon/Sport Utility Vehicle,Sedan,,,
2017-04-25T00:00:00.000,18:00,BROOKLYN,11234,40.61074,-73.92241,"(40.61074, -73.92241)",,,2074      EAST 52 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3673696,Station Wagon/Sport Utility Vehicle,,,,
2017-04-22T00:00:00.000,7:00,,,40.69168,-73.999344,"(40.69168, -73.999344)",BROOKLYN QUEENS EXPRESSWAY      ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,3655451,Pick-up Truck,,,,
2017-04-20T00:00:00.000,18:00,BRONX,10463,40.886536,-73.89985,"(40.886536, -73.89985)",WEST 240 STREET                 ,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,,,,,3654545,Station Wagon/Sport Utility Vehicle,,,,
2017-05-06T00:00:00.000,14:10,QUEENS,11419,40.686234,-73.82418,"(40.686234, -73.82418)",LEFFERTS BOULEVARD              ,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3665559,Station Wagon/Sport Utility Vehicle,Sedan,,,
2017-04-28T00:00:00.000,22:14,,,40.859875,-73.89323,"(40.859875, -73.89323)",WEBSTER AVENUE                  ,,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3662987,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-05-05T00:00:00.000,16:30,BRONX,10453,40.848255,-73.90976,"(40.848255, -73.90976)",WALTON AVENUE                   ,EAST 176 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3663956,Station Wagon/Sport Utility Vehicle,Sedan,,,
2017-04-19T00:00:00.000,22:13,,,40.835358,-73.94022,"(40.835358, -73.94022)",AMSTERDAM AVENUE                ,,,1,0,1,0,0,0,0,0,Unspecified,,,,,3654848,Station Wagon/Sport Utility Vehicle,,,,
2017-04-27T00:00:00.000,15:56,,,40.727753,-73.85861,"(40.727753, -73.85861)",SAUNDERS STREET                 ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Other Vehicular,,,,3658471,Sedan,Station Wagon/Sport Utility Vehicle,,,
2017-05-02T00:00:00.000,22:30,QUEENS,11434,40.666702,-73.76731,"(40.666702, -73.76731)",,,177-90    SOUTH CONDUIT AVENUE          ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3662226,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-05-08T00:00:00.000,23:30,BROOKLYN,11207,40.66322,-73.893654,"(40.66322, -73.893654)",PENNSYLVANIA AVENUE             ,RIVERDALE AVENUE,,8,0,0,0,0,0,8,0,Traffic Control Disregarded,Failure to Yield Right-of-Way,Unspecified,Unspecified,,3666278,Ambulance,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,
2018-02-17T00:00:00.000,14:30,MANHATTAN,10019,,,,,,450       W 57th St                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3848714,Sedan,Sedan,,,
2019-12-04T00:00:00.000,15:30,STATEN ISLAND,10309,,,,,,715       sharrotts rd                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,4263561,Tractor Truck Diesel,,,,
2017-09-12T00:00:00.000,17:59,,,,,,PARK ROW                        ,,,0,0,0,0,0,0,0,0,Driver Inexperience,,,,,3749038,Bus,,,,
2017-05-07T00:00:00.000,15:00,,,,,,CENTER BOULEVARD                ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3668217,Station Wagon/Sport Utility Vehicle,,,,
2017-04-15T00:00:00.000,9:00,QUEENS,11422,40.659714,-73.739815,"(40.659714, -73.739815)",145 AVENUE                      ,243 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3651370,Sedan,Sedan,,,
2017-05-02T00:00:00.000,7:36,,,40.86507,-73.87185,"(40.86507, -73.87185)",BRONX RIVER PARKWAY             ,,,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,3663264,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan
2017-05-01T00:00:00.000,11:00,STATEN ISLAND,10312,40.558887,-74.1977,"(40.558887, -74.1977)",ARDEN AVENUE                    ,ARTHUR KILL ROAD,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3661629,Sedan,,,,
2017-05-08T00:00:00.000,14:03,BROOKLYN,11233,40.678894,-73.90347,"(40.678894, -73.90347)",TRUXTON STREET                  ,VAN SIDERIN AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3666151,Bus,Sedan,,,
2017-04-25T00:00:00.000,19:00,QUEENS,11417,40.676373,-73.84701,"(40.676373, -73.84701)",90 STREET                       ,SUTTER AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3657462,Sedan,,,,
2017-05-05T00:00:00.000,12:30,,,40.84487,-73.92068,"(40.84487, -73.92068)",CROSS BRONX EXPY                ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3664073,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-04-29T00:00:00.000,3:30,QUEENS,11691,40.599243,-73.752495,"(40.599243, -73.752495)",BEACH 19 STREET                 ,BROOKHAVEN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3659410,Sedan,Sedan,Sedan,,
2017-04-16T00:00:00.000,11:25,,,40.8047,-73.83141,"(40.8047, -73.83141)",BRONX WHITESTONE BRIDGE         ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3651871,Station Wagon/Sport Utility Vehicle,Sedan,,,
2017-04-25T00:00:00.000,19:30,,,,,,THROGS NECK EXPRESSWAY          ,HARDING AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3658008,Sedan,Sedan,,,
2017-04-26T00:00:00.000,15:00,QUEENS,11358,40.763287,-73.80358,"(40.763287, -73.80358)",,,35-75     162 STREET                    ,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Backing Unsafely,,,,3658139,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-05-06T00:00:00.000,6:20,BROOKLYN,11203,40.651733,-73.93039,"(40.651733, -73.93039)",UTICA AVENUE                    ,CHURCH AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3667096,,,,,
2017-04-20T00:00:00.000,23:00,MANHATTAN,10013,40.71755,-73.99932,"(40.71755, -73.99932)",CANAL STREET                    ,BAXTER STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3655211,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-04-14T00:00:00.000,10:05,,,40.740944,-74.00537,"(40.740944, -74.00537)",WEST 14 STREET                  ,9 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3652580,Box Truck,Station Wagon/Sport Utility Vehicle,,,
2017-05-01T00:00:00.000,21:20,BROOKLYN,11226,40.637222,-73.9598,"(40.637222, -73.9598)",EAST 19 STREET                  ,NEWKIRK AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3661812,Sedan,,,,
2017-04-19T00:00:00.000,10:58,,,40.736668,-73.997345,"(40.736668, -73.997345)",WEST 13 STREET                  ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3654053,Sedan,Sedan,,,
2017-05-04T00:00:00.000,19:15,STATEN ISLAND,10301,40.631973,-74.08769,"(40.631973, -74.08769)",,,95        SHERMAN AVENUE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3663179,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
2017-04-23T00:00:00.000,12:30,BROOKLYN,11233,40.677616,-73.92829,"(40.677616, -73.92829)",,,38        HUNTERFLY PLACE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3655845,Sedan,Station Wagon/Sport Utility Vehicle,,,
2017-05-03T00:00:00.000,10:00,MANHATTAN,10002,40.7224,-73.99165,"(40.7224, -73.99165)",CHRYSTIE STREET                 ,STANTON STREET,,1,0,0,0,1,0,0,0,Obstruction/Debris,Unspecified,,,,3662934,Bike,Sedan,,,
2017-04-15T00:00:00.000,21:50,,,40.726986,-73.985756,"(40.726986, -73.985756)",1 AVENUE                        ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3652240,Station Wagon/Sport Utility Vehicle,,,,
2017-05-07T00:00:00.000,12:55,MANHATTAN,10038,40.710144,-74.002556,"(40.710144, -74.002556)",,,66        FRANKFORT STREET              ,0,0,0,0,0,0,0,0,Driver Inexperience,,,,,4024284,Sedan,,,,
2017-04-27T00:00:00.000,17:30,BRONX,10461,40.843212,-73.83894,"(40.843212, -73.83894)",WATERS PLACE                    ,FINK AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3658720,Sedan,Sedan,,,
2017-04-14T00:00:00.000,17:20,BROOKLYN,11214,40.603283,-74.00321,"(40.603283, -74.00321)",,,8733      19 AVENUE                     ,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3651640,Station Wagon/Sport Utility Vehicle,Bike,,,
2017-05-07T00:00:00.000,0:00,,,40.63874,-73.8952,"(40.63874, -73.8952)",ROCKAWAY PARKWAY                ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3671373,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-05-03T00:00:00.000,10:20,STATEN ISLAND,10301,40.637993,-74.07929,"(40.637993, -74.07929)",,,76        VICTORY BOULEVARD             ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3662749,Bus,Station Wagon/Sport Utility Vehicle,,,
2019-11-08T00:00:00.000,11:00,,,,,,QUEENSBORO BRIDGE UPPER ROADWAY ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4238650,Sedan,Sedan,,,
2017-05-06T00:00:00.000,20:00,MANHATTAN,10033,40.84554,-73.93278,"(40.84554, -73.93278)",WEST 177 STREET                 ,AMSTERDAM AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3664829,Taxi,Sedan,,,
2017-04-26T00:00:00.000,10:00,BROOKLYN,11206,40.702724,-73.95002,"(40.702724, -73.95002)",HARRISON AVENUE                 ,LORIMER STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Turning Improperly,,,,3658071,Station Wagon/Sport Utility Vehicle,Tractor Truck Diesel,,,
2017-04-16T00:00:00.000,22:00,BROOKLYN,11221,40.6889,-73.92726,"(40.6889, -73.92726)",PATCHEN AVENUE                  ,GATES AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3654715,Sedan,Bike,,,
2017-04-26T00:00:00.000,3:36,BRONX,10467,40.866047,-73.87207,"(40.866047, -73.87207)",SOUTHERN BOULEVARD              ,BRONX RIVER PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,,,,,3658084,Sedan,,,,
2017-05-09T00:00:00.000,9:00,MANHATTAN,10011,40.738552,-73.99969,"(40.738552, -73.99969)",WEST 14 STREET                  ,7 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3671110,Sedan,Pick-up Truck,,,
2017-04-29T00:00:00.000,8:40,,,,,,veterans road west              ,bricktown way,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3660357,Sedan,Station Wagon/Sport Utility Vehicle,,,
2017-04-15T00:00:00.000,15:45,,,40.67175,-73.89685,"(40.67175, -73.89685)",PITKIN AVENUE                   ,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3651344,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-04-27T00:00:00.000,9:40,MANHATTAN,10017,40.74917,-73.97034,"(40.74917, -73.97034)",,,45        TUDOR CITY PLACE              ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3658256,Taxi,Taxi,,,
2017-05-03T00:00:00.000,18:03,BRONX,10463,40.876503,-73.904564,"(40.876503, -73.904564)",WEST 230 STREET                 ,MAJOR DEEGAN EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3663664,Sedan,Sedan,,,
2017-04-28T00:00:00.000,16:30,,,40.666416,-73.80631,"(40.666416, -73.80631)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3659513,Station Wagon/Sport Utility Vehicle,Sedan,,,
2017-04-20T00:00:00.000,21:17,,,40.71741,-73.984,"(40.71741, -73.984)",DELANCEY STREET                 ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3654813,Sedan,Sedan,Taxi,,
2017-05-03T00:00:00.000,16:12,QUEENS,11355,40.752903,-73.832565,"(40.752903, -73.832565)",,,44-39     COLLEGE POINT BOULEVARD       ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3662686,Station Wagon/Sport Utility Vehicle,Sedan,,,
2017-05-04T00:00:00.000,22:30,BROOKLYN,11223,40.598034,-73.97976,"(40.598034, -73.97976)",,,2011      WEST 8 STREET                 ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3663872,Station Wagon/Sport Utility Vehicle,,,,
2017-05-07T00:00:00.000,21:58,MANHATTAN,10027,40.81269,-73.95313,"(40.81269, -73.95313)",WEST 127 STREET                 ,MORNINGSIDE AVENUE,,1,0,0,0,1,0,0,0,Other Vehicular,Unsafe Lane Changing,,,,3665732,Sedan,Bike,,,
2017-05-02T00:00:00.000,21:39,,,40.820263,-73.92976,"(40.820263, -73.92976)",RIVER AVENUE                    ,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Other Vehicular,Unspecified,,,3662253,Station Wagon/Sport Utility Vehicle,Garbage or Refuse,Station Wagon/Sport Utility Vehicle,,
2017-04-22T00:00:00.000,13:16,BRONX,10474,40.81831,-73.88558,"(40.81831, -73.88558)",,,845       LONGFELLOW AVENUE             ,0,0,0,0,0,0,0,0,Unspecified,,,,,3655540,Sedan,,,,
2017-05-08T00:00:00.000,3:51,QUEENS,11378,40.728176,-73.89658,"(40.728176, -73.89658)",,,54-15     68 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,3666823,Station Wagon/Sport Utility Vehicle,,,,
2017-04-16T00:00:00.000,12:55,,,40.58388,-74.16878,"(40.58388, -74.16878)",,,2555      RICHMOND AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3651897,Sedan,Sedan,,,
2017-04-24T00:00:00.000,18:40,BROOKLYN,11224,40.576572,-73.976494,"(40.576572, -73.976494)",,,2951      WEST 8 STREET                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3656531,Sedan,Station Wagon/Sport Utility Vehicle,,,
2017-04-19T00:00:00.000,12:30,,,40.754128,-73.75087,"(40.754128, -73.75087)",57 AVENUE                       ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3653550,Sedan,,,,
2017-05-07T00:00:00.000,16:21,,,40.834198,-73.85169,"(40.834198, -73.85169)",CASTLE HILL AVENUE              ,WESTCHESTER AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3664959,Sedan,Sedan,,,
2017-04-18T00:00:00.000,16:09,,,40.75529,-73.99493,"(40.75529, -73.99493)",WEST 37 STREET                  ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3654277,deliv,unkno,,,
2017-05-06T00:00:00.000,11:28,BRONX,10453,40.848637,-73.91169,"(40.848637, -73.91169)",JEROME AVENUE                   ,EAST 176 STREET,,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,,,,3664725,Taxi,Sedan,,,
2017-04-29T00:00:00.000,11:43,STATEN ISLAND,10305,40.601006,-74.076454,"(40.601006, -74.076454)",STEUBEN STREET                  ,WEST FINGERBOARD ROAD,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3659751,Sedan,Sedan,,,
2017-05-02T00:00:00.000,4:50,MANHATTAN,10011,40.73723,-74.000656,"(40.73723, -74.000656)",WEST 12 STREET                  ,7 AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3661624,Taxi,3-Door,,,
2019-06-25T00:00:00.000,17:40,,,,,,BROOKLYN BRIDGE                 ,,,2,0,1,0,1,0,0,0,Failure to Yield Right-of-Way,,,,,4158706,Bike,,,,
2020-03-10T00:00:00.000,7:48,,,,,,VANWYCK EXPRESSWAY              ,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4306954,Sedan,Box Truck,,,
2017-04-19T00:00:00.000,14:00,MANHATTAN,10021,40.77373,-73.96402,"(40.77373, -73.96402)",EAST 75 STREET                  ,MADISON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3653586,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
2017-04-26T00:00:00.000,17:00,,,,,,4 avenue                        ,4 street,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3658137,Van,Station Wagon/Sport Utility Vehicle,,,
2017-05-04T00:00:00.000,21:50,,,40.71976,-73.94476,"(40.71976, -73.94476)",BROOKLYN QUEENS EXPRESSWAY      ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Following Too Closely,,,,3663232,Sedan,Station Wagon/Sport Utility Vehicle,,,
2017-05-08T00:00:00.000,8:06,MANHATTAN,10035,40.804066,-73.93267,"(40.804066, -73.93267)",EAST 127 STREET                 ,2 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3666029,Sedan,Dump,,,
2017-04-17T00:00:00.000,8:40,MANHATTAN,10019,40.762394,-73.97861,"(40.762394, -73.97861)",WEST 54 STREET                  ,AVENUE OF THE AMERICAS,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3653197,Taxi,Pick-up Truck,,,
2017-04-28T00:00:00.000,10:00,BROOKLYN,11213,40.671032,-73.93927,"(40.671032, -73.93927)",ALBANY AVENUE                   ,SAINT JOHNS PLACE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3659740,Sedan,,,,
2017-04-24T00:00:00.000,20:00,BROOKLYN,11208,40.663063,-73.8746,"(40.663063, -73.8746)",,,634       BERRIMAN STREET               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3656832,Sedan,,,,
2017-04-15T00:00:00.000,21:05,MANHATTAN,10036,40.758705,-73.98928,"(40.758705, -73.98928)",,,300       WEST 44 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3651401,Bus,Sedan,,,
2017-05-02T00:00:00.000,19:00,,,40.601128,-73.997086,"(40.601128, -73.997086)",BAY 28 STREET                   ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3662383,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-04-30T00:00:00.000,13:47,BRONX,10463,40.87406,-73.90897,"(40.87406, -73.90897)",,,76        WEST 225 STREET               ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3660392,Station Wagon/Sport Utility Vehicle,Sedan,,,
2017-05-09T00:00:00.000,1:00,QUEENS,11101,40.751602,-73.93384,"(40.751602, -73.93384)",40 AVENUE                       ,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3666632,Sedan,Sedan,,,
2017-04-18T00:00:00.000,14:00,MANHATTAN,10009,40.7215,-73.98018,"(40.7215, -73.98018)",,,273       EAST 3 STREET                 ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3654762,Sedan,,,,
2017-04-28T00:00:00.000,8:30,BROOKLYN,11235,40.585964,-73.9517,"(40.585964, -73.9517)",,,1715      VOORHIES AVENUE               ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3660598,Sedan,Pick-up Truck,Sedan,,
2017-05-04T00:00:00.000,19:30,QUEENS,11377,40.748146,-73.90426,"(40.748146, -73.90426)",59 STREET                       ,38 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3663495,Sedan,Bike,,,
2017-05-02T00:00:00.000,14:30,BRONX,10470,40.895374,-73.86356,"(40.895374, -73.86356)",EAST 233 STREET                 ,WEBSTER AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3662500,Sedan,Station Wagon/Sport Utility Vehicle,,,
2017-04-24T00:00:00.000,13:40,BROOKLYN,11219,40.639153,-73.99142,"(40.639153, -73.99142)",44 STREET                       ,12 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3658960,Station Wagon/Sport Utility Vehicle,,,,
2017-04-30T00:00:00.000,14:22,MANHATTAN,10001,40.74811,-73.987785,"(40.74811, -73.987785)",,,1250      BROADWAY                      ,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3669166,Station Wagon/Sport Utility Vehicle,Taxi,,,
